leach_duration_days,cumulative_catalyst_addition_kg_t,control_pred_mean,control_pred_p10,control_pred_p90,catalyzed_pred_mean,catalyzed_pred_p10,catalyzed_pred_p90
1470.0,0.615,38.11608123779297,32.41621780395508,43.81594467163086,42.98846435546875,36.13662338256836,49.84030532836914
1477.0,0.615,38.14842224121094,32.44740295410156,43.84944534301758,43.02522277832031,36.17335510253906,49.87709426879883
1484.0,0.615,38.18041229248047,32.478275299072266,43.88254928588867,43.06159210205078,36.20973205566406,49.913448333740234
1491.0,0.615,38.2120475769043,32.50883102416992,43.91526412963867,43.09756851196289,36.245758056640625,49.949378967285156
1498.0,0.615,38.24333190917969,32.53907775878906,43.94758987426758,43.13315963745117,36.281436920166016,49.98488235473633
1505.0,0.615,38.27427673339844,32.56901931762695,43.97953414916992,43.168373107910156,36.316768646240234,50.01997756958008
1512.0,0.615,38.30487823486328,32.598655700683594,44.011104583740234,43.203208923339844,36.35175704956055,50.054656982421875
1519.0,0.615,38.335147857666016,32.627994537353516,44.042301177978516,43.2376708984375,36.38640594482422,50.08893585205078
1526.0,0.615,38.365081787109375,32.65703201293945,44.07312774658203,43.271766662597656,36.42072677612305,50.12281036376953
1533.0,0.615,38.394683837890625,32.68577575683594,44.10359191894531,43.30549621582031,36.454708099365234,50.15628433227539
1540.0,0.615,38.42395782470703,32.71422576904297,44.13369369506836,43.3388671875,36.488365173339844,50.18936538696289
1547.0,0.615,38.45291519165039,32.74238967895508,44.1634407043457,43.37187957763672,36.521697998046875,50.22206115722656
1554.0,0.615,38.48155212402344,32.770267486572266,44.19283676147461,43.404541015625,36.55470275878906,50.25437545776367
1561.0,0.615,38.5098762512207,32.7978630065918,44.221885681152344,43.436851501464844,36.5873908996582,50.28630828857422
1568.0,0.615,38.53788375854492,32.82517623901367,44.25059127807617,43.46881866455078,36.61976623535156,50.317867279052734
1575.0,0.615,38.565589904785156,32.85221862792969,44.27895736694336,43.50044250488281,36.651824951171875,50.349056243896484
1582.0,0.615,38.592987060546875,32.87898254394531,44.30699157714844,43.5317268371582,36.68357467651367,50.379878997802734
1589.0,0.615,38.62008285522461,32.90547561645508,44.33469009399414,43.56268310546875,36.71501922607422,50.410343170166016
1596.0,0.615,38.646881103515625,32.931697845458984,44.36206817626953,43.59330368041992,36.746158599853516,50.44044876098633
1603.0,0.615,38.67338562011719,32.95765686035156,44.38911819458008,43.623600006103516,36.77699279785156,50.47020721435547
1610.0,0.615,38.69960021972656,32.98334884643555,44.41584777832031,43.65357208251953,36.807533264160156,50.49960708618164
1617.0,0.615,38.72552490234375,33.008785247802734,44.442264556884766,43.6832275390625,36.8377799987793,50.52867126464844
1624.0,0.615,38.751163482666016,33.03396224975586,44.46836471557617,43.712562561035156,36.86773681640625,50.55738830566406
1631.0,0.615,38.77652359008789,33.05888366699219,44.494163513183594,43.74158477783203,36.89739990234375,50.58576965332031
1638.0,0.615,38.801605224609375,33.08354949951172,44.519657135009766,43.770301818847656,36.92677688598633,50.613826751708984
1645.0,0.615,38.82640838623047,33.107967376708984,44.54484558105469,43.798709869384766,36.95587158203125,50.64154815673828
1652.0,0.615,38.85093688964844,33.13214111328125,44.56973648071289,43.82681655883789,36.98468780517578,50.6689453125
1659.0,0.615,38.87520217895508,33.15606689453125,44.594337463378906,43.85462188720703,37.013221740722656,50.696022033691406
1666.0,0.615,38.89919662475586,33.17974853515625,44.61864471435547,43.88213348388672,37.041481018066406,50.722782135009766
1673.0,0.615,38.92292785644531,33.20319366455078,44.64266586303711,43.90935134887695,37.0694694519043,50.749229431152344
1680.0,0.615,38.9463996887207,33.22639846801758,44.666404724121094,43.936279296875,37.09718704223633,50.775367736816406
