project_sample_id,group,n_pred_points,rmse,bias,r2,ci_inside_count,ci_total_count,ci_outside_count,ci_coverage_pct
026_jetti_project_file_sample_1_primary_sulfide,Overall,146,4.595929070913152,-1.2233180105944146,0.5531592135197807,0,0,0,
026_jetti_project_file_sample_1_primary_sulfide,Control,77,3.1567493369957926,0.020662337662338,0.7185304315570984,0,0,0,
026_jetti_project_file_sample_1_primary_sulfide,Catalyzed,69,5.794280333988338,-2.6115279644461533,0.3669257641789586,0,0,0,
026_jetti_project_file_sample_2_carrizalillo,Overall,146,10.026526711286992,-8.601908642904164,-0.9499715291775934,0,0,0,
026_jetti_project_file_sample_2_carrizalillo,Control,77,8.640497724209986,-7.439623376623378,-0.7424110531516188,0,0,0,
026_jetti_project_file_sample_2_carrizalillo,Catalyzed,69,11.375589974350895,-9.898951621217504,-1.337194550802708,0,0,0,
026_jetti_project_file_sample_3_secondary_sulfide,Overall,136,17.23726531077212,-16.012607340243584,-2.5980800881435395,0,0,0,
026_jetti_project_file_sample_3_secondary_sulfide,Control,73,16.625220529591004,-15.33327397260274,-1.9389607154881245,0,0,0,
026_jetti_project_file_sample_3_secondary_sulfide,Catalyzed,63,17.920335165771917,-16.79977140116075,-3.864754125827946,0,0,0,
jetti_file_elephant_ii_pq,Overall,150,3.6159299541519516,-1.9427933333333332,0.6043863868259629,0,0,0,
jetti_file_elephant_ii_pq,Control,92,3.6531983768247223,-1.3974673913043478,0.6922330762643636,0,0,0,
jetti_file_elephant_ii_pq,Catalyzed,58,3.556013469196011,-2.807793103448276,-0.5651373996932214,0,0,0,
jetti_file_elephant_ii_ugm2,Overall,152,8.822747669174486,-8.02988172195488,-0.7548644606503596,0,0,0,
jetti_file_elephant_ii_ugm2,Control,94,8.158180251825563,-7.097297872340424,-0.17219825047422432,0,0,0,
jetti_file_elephant_ii_ugm2,Catalyzed,58,9.804606716300132,-9.541310719605894,-8.229522339144337,0,0,0,
jetti_file_elephant_ii_ugm2_coarse,Overall,153,14.284252615404146,-13.573958064325744,-3.8284660910964172,0,0,0,
jetti_file_elephant_ii_ugm2_coarse,Control,95,13.30978256534802,-12.360863157894734,-2.301727266717835,0,0,0,
jetti_file_elephant_ii_ugm2_coarse,Catalyzed,58,15.750654557522834,-15.560923859342052,-25.513543019357815,0,0,0,
jetti_project_file_elephant_scl_sample_escondida,Overall,304,10.947586040132043,-7.354989179857884,-0.214697440820244,0,0,0,
jetti_project_file_elephant_scl_sample_escondida,Control,158,4.044783382818424,-2.5504493670886075,0.5001354345799673,0,0,0,
jetti_project_file_elephant_scl_sample_escondida,Catalyzed,146,15.226456679365006,-12.55442267586847,-1.1337941842350956,0,0,0,
jetti_project_file_elephant_site,Overall,435,21.241895742385324,-20.52237725722925,-6.464994240652431,0,0,0,
jetti_project_file_elephant_site,Control,237,18.0394076188911,-17.61545147679325,-8.172210072791998,0,0,0,
jetti_project_file_elephant_site,Catalyzed,198,24.531498485374456,-24.001879327751137,-11.309736304928384,0,0,0,
jetti_project_file_leopard_scl_sample_los_bronces,Overall,318,10.194634430438612,-8.182874857026832,-0.6123694525163914,0,0,0,
jetti_project_file_leopard_scl_sample_los_bronces,Control,193,9.56107308158988,-6.686606217616579,-0.10765216774613728,0,0,0,
jetti_project_file_leopard_scl_sample_los_bronces,Catalyzed,125,11.102070713934564,-10.493113636276256,-5.553766981327002,0,0,0,
jetti_project_file_toquepala_scl_sample_fresca,Overall,253,2.8233772718611774,2.2195307896323815,0.7468937833570395,0,0,0,
jetti_project_file_toquepala_scl_sample_fresca,Control,134,2.406972235669448,2.3551343283582087,0.7849546886327298,0,0,0,
jetti_project_file_toquepala_scl_sample_fresca,Catalyzed,119,3.2286117505687377,2.0668343678738865,0.6737924839731215,0,0,0,
jetti_project_file_zaldivar_scl_sample_zaldivar,Overall,369,10.94858462803466,4.577112209965172,0.2574530746657071,0,0,0,
jetti_project_file_zaldivar_scl_sample_zaldivar,Control,191,11.267253062101917,11.203984293193717,-4.173350230272657,0,0,0,
jetti_project_file_zaldivar_scl_sample_zaldivar,Catalyzed,178,10.595988770353756,-2.533744913049725,0.38048125804725197,0,0,0,
